net,length_um
_03358_,89.11
_02665_,89.095
_03402_,89.095
_02981_,88.985
_176_\[5\],88.905
_02134_,88.9
_03898_,88.79
_06112_,88.75
_234_\[15\],88.73
_06156_,88.72
clknet_3_7_0_clk,88.555
_176_\[20\],88.53
_152_\[23\],88.45
_06189_,88.38
_152_\[28\],88.37
_05439_,88.14
clknet_leaf_90_clk,87.985
clknet_leaf_122_clk,87.895
_05491_,87.84
_02086_,87.56
_04950_,87.535
_05885_,87.46
_01440_,86.905
_01457_,86.86
_03977_,86.845
clknet_leaf_52_clk,86.845
_02618_,86.815
_02642_,86.785
_05921_,86.5
_240_\[2\],86.395
clknet_leaf_72_clk,86.395
_02655_,86.375
_01511_,86.235
_132_\[29\],86.14
clknet_leaf_13_clk,86.03
_03484_,86.005
_234_\[17\],85.85
_01256_,85.825
clknet_leaf_110_clk,85.78
clknet_leaf_73_clk,85.725
_01596_,85.6
_06230_,85.325
_04600_,85.25
_04206_,85.06
_03144_,84.92
_176_\[7\],84.825
_132_\[25\],84.65
_01574_,84.595
_243_\[18\],84.565
_176_\[17\],84.455
_05763_,84.38
_03444_,84.335
_01477_,84.255
_179_\[10\],84.25
_140_\[30\],84.205
_240_\[13\],84.11
_06379_,83.72
_173_\[29\],83.715
_04324_,83.61
_164_\[22\],83.53
_02701_,83.415
_182_\[24\],83.045
_02144_,82.835
_01578_,82.605
_140_\[2\],82.41
_03964_,82.17
_152_\[26\],82.075
clknet_leaf_48_clk,82.005
_149_\[14\],81.915
_02032_,81.88
clknet_leaf_0_clk,81.87
_04917_,81.625
_152_\[27\],81.61
_05914_,81.54
_03883_,81.525
_02476_,81.45
_164_\[19\],81.4
_01277_,81.27
_03248_,81.255
_04055_,81.255
_05903_,81.24
_04080_,81.13
_01208_,80.91
_03109_,80.895
_02302_,80.855
_03760_,80.775
clknet_leaf_39_clk,80.715
_01719_,80.595
_03232_,80.54
_03869_,80.535
_240_\[3\],80.535
clknet_leaf_34_clk,80.47
_240_\[7\],80.43
_03169_,80.42
_140_\[26\],80.415
clknet_leaf_94_clk,80.395
_140_\[25\],80.37
_03798_,80.355
_02378_,80.295
_132_\[27\],80.255
_05494_,80.24
clknet_leaf_28_clk,80.06
_234_\[18\],79.92
_03110_,79.875
_128_\[13\],79.84
_179_\[8\],79.725
_149_\[30\],79.71
_182_\[3\],79.665
_132_\[26\],79.66
_03221_,79.54
_228_\[30\],79.515
_01472_,79.445
_02362_,79.335
_03095_,79.245
_01272_,79.2
clknet_leaf_17_clk,79.19
_234_\[16\],79.135
_231_\[6\],79.125
_142_\[12\],79.055
_03200_,78.98
_04618_,78.93
_02205_,78.92
_152_\[18\],78.915
_02241_,78.88
_04025_,78.55
_05572_,78.46
_04045_,78.385
_234_\[22\],78.365
_195_\[3\],78.25
_02172_,78.245
clknet_leaf_127_clk,78.205
_04032_,78.13
_04107_,77.96
_01295_,77.905
clknet_leaf_86_clk,77.87
_234_\[21\],77.81
_02053_,77.715
_128_\[28\],77.68
clknet_leaf_20_clk,77.67
_176_\[25\],77.65
_02904_,77.535
clknet_leaf_70_clk,77.355
_167_\[17\],77.35
_01279_,77.345
_02635_,77.235
_03934_,77.23
_05933_,77.22
_03774_,77.215
_02201_,77.14
_01464_,77.075
_02924_,77.04
_04948_,77.03
clknet_leaf_29_clk,76.995
_04389_,76.99
_03353_,76.94
_02675_,76.92
_03928_,76.92
_234_\[20\],76.8
clknet_leaf_74_clk,76.76
_142_\[11\],76.73
clknet_leaf_102_clk,76.73
_170_\[17\],76.685
_01469_,76.565
_170_\[8\],76.385
_04103_,76.335
_167_\[24\],76.265
_134_\[18\],76.235
_03662_,76.18
_02413_,76.12
_182_\[25\],76.095
_01282_,75.995
_01207_,75.97
_02928_,75.97
